sy_snum,sy_pnum,disc_year,pl_orbper,pl_orbsmax,pl_bmasse,pl_orbeccen,st_mass,ra,dec,sy_dist,sy_vmag,sy_kmag,sy_gaiamag
1,2,1998,58.11247,0.2931,2434.157,0.52883,0.99,275.0159879,-9.5966905,39.6245,6.92122,5.211,6.73166
2,1,1998,18.201228,0.1376,1161.66283,0.0198,1.05,307.0792427,18.7692509,37.6681,6.87591,5.256,6.72911
2,1,1998,18.2,0.13,1102.82,0.02,1.03,307.0792427,18.7692509,37.6681,6.87591,5.256,6.72911
2,1,1998,18.20163,0.1388,1175.92,0.014,1.03,307.0792427,18.7692509,37.6681,6.87591,5.256,6.72911
2,1,1998,18.20132,0.14,1264.9634,0.01,1.21,307.0792427,18.7692509,37.6681,6.87591,5.256,6.72911
2,1,1998,18.20132,0.1388,1172.7,0.0138,1.07,307.0792427,18.7692509,37.6681,6.87591,5.256,6.72911
1,2,1998,7.126846,0.07505,449.2338,0.1283,0.98,344.5647243,-2.3954489,20.0619,6.155,4.536,5.96401
1,2,1998,7.126816,0.0748,441.77,0.1267,0.98,344.5647243,-2.3954489,20.0619,6.155,4.536,5.96401
1,2,1998,3.0965971,0.04186,159.23203,0.004,1.02,296.7428786,34.41899,45.9548,7.83,6.337,7.67284
1,2,1998,3.0965886,0.04213,161.2601,0.0093,1.04,296.7428786,34.41899,45.9548,7.83,6.337,7.67284
1,2,1998,3.0965828,0.0426,166.218,0.0103,1.04,296.7428786,34.41899,45.9548,7.83,6.337,7.67284
1,1,1998,442.943,1.123,392.83591,0.472,0.96,332.3748117,-7.5505962,21.2985,6.54348,4.799,6.34701
1,2,1998,7.1268744,0.0739,440.19234,0.1279,1.06,344.5647243,-2.3954489,20.0619,6.155,4.536,5.96401
1,2,1998,7.12682,0.08,413.179,0.13,1.0,344.5647243,-2.3954489,20.0619,6.155,4.536,5.96401
1,1,1998,442.19,1.13,410.0007,0.48,1.01,332.3748117,-7.5505962,21.2985,6.54348,4.799,6.34701
1,1,1998,437.0,1.1,406.81,0.45,0.92,332.3748117,-7.5505962,21.2985,6.54348,4.799,6.34701
