sy_snum,sy_pnum,disc_year,pl_orbper,pl_orbsmax,pl_bmasse,pl_orbeccen,st_mass,ra,dec,sy_dist,sy_vmag,sy_kmag,sy_gaiamag
1,3,2008,5.3978,0.057,9.26,0.17,0.83,20.4956562,76.7101475,16.9922,7.17896,5.159,6.92516
1,3,2008,5.39792,0.05664,8.68,0.058,0.83,20.4956562,76.7101475,16.9922,7.17896,5.159,6.92516
1,1,2008,3610.0,3.53,254.26273,0.069,0.45,323.3912616,-49.0125169,4.96435,8.66,4.501,7.73761
1,1,2008,3416.0,3.4,203.4,0.12,0.45,323.3912616,-49.0125169,4.96435,8.66,4.501,7.73761
1,1,2008,3657.0,3.56,216.0,0.08,0.45,323.3912616,-49.0125169,4.96435,8.66,4.501,7.73761
1,1,2008,8.776,0.066,9.06,0.148,0.48,70.7353853,18.953358,9.47045,9.95,5.607,8.99955
1,1,2008,8.7752,0.06649,9.05811,0.16,0.51,70.7353853,18.953358,9.47045,9.95,5.607,8.99955
1,1,2008,3507.0,3.46,197.046,0.08,0.44,323.3912616,-49.0125169,4.96435,8.66,4.501,7.73761
4,1,2009,345.4,1.01,2097.678,0.18,1.16,39.2412736,24.6480103,44.657,7.09209,5.822,6.96085
1,1,2009,4.0378962,0.04963,151.92274,0.087,1.0,101.2772396,0.8152163,882.472,14.043,12.546,13.9021
1,1,2009,8.886593,0.0854,937.5985,0.18,1.05,281.0725563,6.6632062,645.294,13.961,12.119,13.7459
2,1,2009,95.272656,0.4029,268.88418,0.134,0.96,280.7866461,6.2040783,412.98,13.637,11.688,13.5008
1,3,2009,3.14867,0.028453,1.7,0.0,0.31,229.8564725,-7.7226935,6.2981,10.57,5.837,9.411
1,1,2009,598.3,1.135,104.244,0.3,0.54,254.5363221,25.7419719,10.3796,9.7,5.624,8.81875
1,1,2009,3.2130589,0.03837,66.10864,0.0,0.73,209.3886452,43.49331,142.751,12.665,10.108,12.4197
1,1,2009,3.21305929,0.03838,66.23577,0.035,0.73,209.3886452,43.49331,142.751,12.665,10.108,12.4197
1,2,2009,2.9162383,0.0427,280.64389,0.013,1.22,129.8823772,47.3519076,246.81,10.421,8.975,10.4168
1,2,2009,2.9162383,0.04383,285.72917,0.007,1.32,129.8823772,47.3519076,246.81,10.421,8.975,10.4168
1,2,2009,445.82,1.258,4643.3,0.6551,1.32,129.8823772,47.3519076,246.81,10.421,8.975,10.4168
1,1,2009,936.4,2.5,4344.7361,0.06,2.09,189.8111935,-7.9956702,100.758,4.64597,2.011,4.31048
2,3,2009,4.15466,0.051,15.57359,0.149,1.05,215.2227183,-17.4818147,57.6207,8.31,6.838,8.1559
2,3,2009,4.15514,0.0524,17.48065,0.049,1.11,215.2227183,-17.4818147,57.6207,8.31,6.838,8.1559
2,3,2009,2822.72698,3.982,2281.37231,0.115,1.05,215.2227183,-17.4818147,57.6207,8.31,6.838,8.1559
2,3,2009,2835.0,4.06,2313.8024,0.1172,1.11,215.2227183,-17.4818147,57.6207,8.31,6.838,8.1559
3,1,2009,1257.25303,2.249,107.74383,0.548,0.96,216.7005171,-5.1784093,73.0961,8.81,7.06,8.61907
1,1,2009,1840.0,2.9,508.507,0.7,0.99,221.5104196,-68.7629901,67.4386,8.8,7.167,8.6178
1,2,2009,5000.0,5.8,260.0,0.12,1.1,228.3675397,-25.3096721,26.1804,6.47,4.882,6.28994
1,1,2009,2097.0,3.2,953.45,0.6,1.02,253.3732313,-46.3333582,87.8888,9.18,7.634,9.01051
1,1,2009,606.4,1.3,858.105,0.24,0.8,270.7787177,-28.5608343,39.3633,9.62,7.169,9.32786
1,1,2009,641.472,1.331,635.0,0.35,0.77,270.7787177,-28.5608343,39.3633,9.62,7.169,9.32786
1,1,2009,1515.0,2.518,2796.88998,0.358,0.92,278.6818389,-28.0727849,44.8113,8.61,6.831,8.41099
1,1,2009,1532.0,2.57,864.4976,0.234,0.96,278.6818389,-28.0727849,44.8113,8.61,6.831,8.41099
1,1,2009,1290.0,2.4,2478.97,0.54,1.1,285.0033888,-69.9450664,71.0863,8.01,6.288,7.82424
1,1,2009,1276.07604,2.307,2037.59792,0.528,1.0,285.0033888,-69.9450664,71.0863,8.01,6.288,7.82424
1,2,2009,566.0,1.31,111.23994,0.47,0.92,341.652714,-56.5997984,40.5468,8.96,6.784,8.68605
1,1,2009,687.14,1.66,3178.3,0.0572,1.29,86.9963141,-8.3280256,91.4349,8.26,6.279,8.03397
1,2,2009,1534.0,2.6,476.725,0.73,1.02,149.1235154,-24.0991859,45.683,7.93,6.463,7.7713
1,1,2009,1488.79123,2.763,3117.26102,0.821,1.26,149.2409308,-15.8953993,67.8107,7.41,6.224,7.28372
2,1,2009,1644.69097,2.97,4210.59074,0.73,1.28,21.5378455,34.5793389,37.8619,6.331,5.169,6.2242
1,1,2009,3006.0,3.77,2005.49725,0.72,0.8,152.1794175,34.2419984,18.2912,7.56,5.314,7.27194
1,1,2009,3309.22118,4.055,1719.13385,0.707,0.81,152.1794175,34.2419984,18.2912,7.56,5.314,7.27194
1,1,2009,2199.0,3.34,635.6,0.25,1.03,154.5874958,12.6209392,32.0104,7.02569,5.564,6.86817
1,1,2009,2199.0,3.3632,659.152,0.25,1.05,154.5874958,12.6209392,32.0104,7.02569,5.564,6.86817
2,1,2009,498.1,1.332,225.6593,0.681,1.27,166.3125657,-10.291345,85.3006,8.09,6.554,7.92849
1,3,2009,981.8,1.94,187.5197,0.185,1.01,47.809275,21.0971302,50.48,8.520001,6.828,8.33307
2,1,2009,3649.0,3.99,1430.22783,0.65,0.65,217.3270762,-46.464684,24.0572,10.421,6.79,9.69796
2,1,2009,17337.5,20.25,2860.0,0.715,0.63,217.3270762,-46.464684,24.0572,10.421,6.79,9.69796
1,1,2009,111.7,0.36,667.415,0.29,0.49,243.1742467,-18.8764247,14.5324,11.394,6.589,10.2351
1,1,2009,3.5484625,0.05071,675.70658,0.043,1.37,299.4070341,44.0350387,899.777,13.325,11.769,13.2263
1,1,2009,3.2346994,0.04448,205.63601,0.06,1.11,296.8372475,48.2399695,587.039,13.286,11.634,13.1714
1,1,2009,4.8854886,0.0633,142.70567,0.026,1.41,288.5814928,41.0897335,922.562,13.008,11.535,12.8649
1,1,2009,4.353011,0.0558,166.86075,0.016,1.22,140.1029654,33.8823291,227.537,10.424,9.119,10.38
1,1,2009,4.353011,0.05362,151.599,0.0,1.09,140.1029654,33.8823291,227.537,10.424,9.119,10.38
1,1,2009,3.7520656,0.0499,172.0,0.0,1.18,208.9280111,-32.1597118,282.091,10.972,9.693,10.797
1,1,2009,3.75209748,0.0499,172.26386,0.055,1.18,208.9280111,-32.1597118,282.091,10.972,9.693,10.797
1,1,2009,3.1186009,0.0421,272.0,0.0,1.02,214.6830109,-20.2754374,194.134,11.288,9.589,11.1247
1,1,2009,3.1186068,0.0422,288.58964,0.018,1.02,214.6830109,-20.2754374,194.134,11.288,9.589,11.1247
1,1,2009,3.7354417,0.051,156.0,0.129,1.2,239.9622479,-28.0617941,405.908,11.588,10.224,11.3803
1,1,2009,3.7354845,0.05151,162.72896,0.02,1.31,239.9622479,-28.0617941,405.908,11.588,10.224,11.3803
1,1,2009,3.735438,0.0513,154.46538,0.0,1.31,239.9622479,-28.0617941,405.908,11.588,10.224,11.3803
2,2,2009,0.9414523,0.0203,3241.866,0.00757,1.25,24.3544618,-45.6777937,123.483,9.28,8.131,9.16617
1,1,2009,0.788839,0.01653,370.27195,0.0077,0.97,148.4167672,-45.6591078,268.325,12.248,10.481,12.1088
1,1,2009,0.7888396,0.01649,367.72931,0.0061,0.96,148.4167672,-45.6591078,268.325,12.248,10.481,12.1088
1,1,2009,0.78884,0.01655,371.21,0.0046,0.97,148.4167672,-45.6591078,268.325,12.248,10.481,12.1088
1,1,2009,3.36100239,0.04217,153.51189,0.07,0.88,348.1571282,-22.6741248,197.119,11.907,10.325,11.9761
1,1,2009,3.361006,0.0421,160.0,0.054,0.88,348.1571282,-22.6741248,197.119,11.907,10.325,11.9761
1,2,2009,379.63,1.45,6807.63,0.15,2.8,154.186782,19.8912626,1539.71,9.743,6.42,9.22684
1,2,2009,621.99,2.01,3963.17,0.18,2.8,154.186782,19.8912626,1539.71,9.743,6.42,9.22684
1,1,2009,516.22,1.54,3337.07,0.08,1.8,229.2745954,71.8239428,125.321,5.013,1.939,4.56216
1,2,2009,379.63,1.05,17668.1697,0.15,10.83,154.186782,19.8912626,1539.71,9.743,6.42,9.22684
1,1,2009,516.21997,1.53,4684.8142,0.08,2.78,229.2745954,71.8239428,125.321,5.013,1.939,4.56216
1,1,2009,835.477,2.14,3524.59,0.462,2.17,189.8111935,-7.9956702,100.758,4.64597,2.011,4.31048
1,1,2009,157.35,0.594,905.49313,0.028,1.13,77.4037569,69.6391355,122.115,6.43005,3.911,6.11933
1,1,2009,157.54,0.59,966.16,0.01,1.13,77.4037569,69.6391355,122.115,6.43005,3.911,6.11933
1,1,2009,501.75,1.16,1655.82,0.15,0.82,347.6219227,57.0294818,372.405,8.270001,4.388,7.64476
1,1,2009,673.2,1.74,647.10188,0.1,1.55,325.8537599,-7.4082451,147.192,8.34,5.952,8.06506
1,1,2009,356.21,1.157,612.45841,0.147,1.63,11.4181301,7.8450492,136.308,7.83,5.595,7.57399
1,2,2009,464.4,1.36,400.4658,0.119,1.54,164.698748,1.7290087,136.957,7.92,5.626,7.66056
1,1,2009,564.1,1.592,807.2882,0.022,1.69,290.2674078,-23.6196996,120.391,7.55,5.251,7.28405
1,1,2009,562.1,1.65,921.707,0.1,1.89,290.2674078,-23.6196996,120.391,7.55,5.251,7.28405
1,1,2009,610.0,1.68,699.197,0.229,1.56,325.8537599,-7.4082451,147.192,8.34,5.952,8.06506
1,1,2009,380.7,1.19,759.6137,0.076,1.56,336.762413,-17.2641046,111.155,7.6,5.496,7.35208
1,1,2009,610.0,1.54,813.6448,0.23,1.93,325.8537599,-7.4082451,147.192,8.34,5.952,8.06506
2,1,2009,510.9,1.4,535.54355,0.107,1.41,289.8239604,-23.5582432,104.577,7.78,5.543,7.52132
1,1,2009,663.0,1.78,1204.5757,0.18,2.25,290.2674078,-23.6196996,120.391,7.55,5.251,7.28405
1,1,2009,663.0,1.78,1048.79,0.177,1.84,290.2674078,-23.6196996,120.391,7.55,5.251,7.28405
1,1,2009,356.0,1.19,730.978,0.041,1.72,11.4181301,7.8450492,136.308,7.83,5.595,7.57399
1,2,2009,507.0,1.51,381.38,0.157,1.58,164.698748,1.7290087,136.957,7.92,5.626,7.66056
1,1,2009,356.0,1.13,950.3117,0.04,2.47,11.4181301,7.8450492,136.308,7.83,5.595,7.57399
2,1,2009,479.0,1.38,495.8148,0.09,1.52,289.8239604,-23.5582432,104.577,7.78,5.543,7.52132
1,1,2009,331.5,1.04,413.179,0.16,1.64,247.1171311,-13.3996231,71.3499,6.90498,4.682,6.63542
2,1,2009,479.0,1.39,508.507,0.09,1.52,289.8239604,-23.5582432,104.577,7.78,5.543,7.52132
1,1,2009,373.3,1.22,730.978,0.111,1.15,336.762413,-17.2641046,111.155,7.6,5.496,7.35208
1,1,2009,373.29999,1.16,1172.7927,0.11,2.41,336.762413,-17.2641046,111.155,7.6,5.496,7.35208
1,1,2009,331.5,0.93,310.0,0.16,1.45,247.1171311,-13.3996231,71.3499,6.90498,4.682,6.63542
1,1,2009,686.8,1.66,3219.6179,0.059,1.29,86.9963141,-8.3280256,91.4349,8.26,6.279,8.03397
1,1,2009,696.3,1.7,3400.64,0.0,1.36,86.9963141,-8.3280256,91.4349,8.26,6.279,8.03397
1,1,2009,685.25,1.623,3082.31534,0.017,1.21,86.9963141,-8.3280256,91.4349,8.26,6.279,8.03397
1,1,2009,696.29999,1.65,3852.0996,0.0,1.64,86.9963141,-8.3280256,91.4349,8.26,6.279,8.03397
2,1,2009,498.04,1.332,227.88411,0.685,1.27,166.3125657,-10.291345,85.3006,8.09,6.554,7.92849
2,1,2009,498.9,1.3,216.1244,0.71,1.31,166.3125657,-10.291345,85.3006,8.09,6.554,7.92849
1,1,2009,9970.0,8.8,1137.8257,0.745,0.91,302.8779827,-64.6202728,148.187,8.76,7.319,8.61126
1,1,2009,4885.0,5.5,985.2,0.57,0.91,302.8779827,-64.6202728,148.187,8.76,7.319,8.61126
1,1,2009,1475.0,2.86,2224.81,0.7,1.42,149.2409308,-15.8953993,67.8107,7.41,6.224,7.28372
1,1,2009,1480.0,2.873,3909.28941,0.77,1.42,149.2409308,-15.8953993,67.8107,7.41,6.224,7.28372
1,1,2009,4.885525,0.06224,137.615,0.0,1.35,288.5814928,41.0897335,922.562,13.008,11.535,12.8649
1,1,2009,842.2,1.88,235.18,0.22,1.25,259.9639522,-48.5502313,56.8655,6.67,5.17,6.5121
1,1,2009,1157.0,2.34,387.7526,0.76,1.12,72.1529519,-5.6751152,26.1597,5.77466,4.31,5.61828
1,1,2009,3.54846,0.05064,671.864,0.024,1.37,299.4070341,44.0350387,899.777,13.325,11.769,13.2263
1,1,2009,1289.0,2.438,3114.71839,0.539,1.17,285.0033888,-69.9450664,71.0863,8.01,6.288,7.82424
1,1,2009,1290.0,2.4,2850.9351,0.54,1.37,285.0033888,-69.9450664,71.0863,8.01,6.288,7.82424
1,1,2009,956.0,1.85,127.132,0.26,1.03,290.7212224,-32.9208401,60.2046,7.84,6.294,7.67484
1,1,2009,1157.0,2.3,410.0007,0.76,1.22,72.1529519,-5.6751152,26.1597,5.77466,4.31,5.61828
1,1,2009,1153.0,2.299,467.20776,0.748,1.22,72.1529519,-5.6751152,26.1597,5.77466,4.31,5.61828
1,2,2009,5.6,0.056,14.4,0.15,0.74,150.1971964,-9.5165689,41.3342,9.86,7.323,9.50331
1,2,2009,237.6,0.68,104.0,0.19,0.74,150.1971964,-9.5165689,41.3342,9.86,7.323,9.50331
1,2,2009,2.91626,0.0427,271.098,0.021,1.22,129.8823772,47.3519076,246.81,10.421,8.975,10.4168
1,2,2009,428.5,1.188,4830.8,0.691,1.22,129.8823772,47.3519076,246.81,10.421,8.975,10.4168
2,1,2009,498.89999,1.35,254.264,0.71,1.67,166.3125657,-10.291345,85.3006,8.09,6.554,7.92849
1,6,2009,1059.0,2.105,209.13109,0.103,1.11,79.4207483,7.3527156,46.0907,7.31,5.79,7.14947
1,1,2009,3.7354845,0.05125,151.60491,0.0,1.29,239.9622479,-28.0617941,405.908,11.588,10.224,11.3803
1,1,2009,3.735438,0.0515,154.46538,0.028,1.31,239.9622479,-28.0617941,405.908,11.588,10.224,11.3803
1,1,2009,9.6737,0.08,6.3566,0.0,0.29,215.3434326,-40.3942443,28.1989,9.03,6.447,8.6555
3,1,2009,1253.5,2.291,113.14691,0.577,1.02,216.7005171,-5.1784093,73.0961,8.81,7.06,8.61907
1,1,2009,3.21346,0.0456,24.472,0.0,1.22,285.6154492,50.1357712,487.916,12.285,10.805,12.1577
1,1,2009,990.0,2.12,1620.933,0.6,1.63,39.2577379,42.0624526,59.859,7.297,5.853,7.1291
1,1,2009,4.0378962,0.04947,148.42,0.09,1.0,101.2772396,0.8152163,882.472,14.043,12.546,13.9021
2,1,2009,1634.0,3.02,4513.0,0.723,1.28,21.5378455,34.5793389,37.8619,6.331,5.169,6.2242
1,1,2009,4449.0,5.323,607.37009,0.02,1.02,34.1979991,43.7722065,47.3963,7.61,6.139,7.45464
1,1,2009,981.1,2.13,1875.1876,0.675,1.34,39.2577379,42.0624526,59.859,7.297,5.853,7.1291
1,1,2009,995.4,2.148,1516.0491,0.637,1.34,39.2577379,42.0624526,59.859,7.297,5.853,7.1291
1,6,2009,1056.7,2.075,200.0,0.014,1.07,79.4207483,7.3527156,46.0907,7.31,5.79,7.14947
1,6,2009,1049.0,2.07,260.6206,0.27,1.14,79.4207483,7.3527156,46.0907,7.31,5.79,7.14947
1,6,2009,1049.0,2.07,250.0,0.27,1.07,79.4207483,7.3527156,46.0907,7.31,5.79,7.14947
1,3,2009,952.0,1.89,181.1631,0.173,0.99,47.809275,21.0971302,50.48,8.520001,6.828,8.33307
1,1,2009,956.0,1.78,117.59,0.26,0.92,290.7212224,-32.9208401,60.2046,7.84,6.294,7.67484
1,1,2009,3.234723,0.04567,212.619,0.0,1.21,296.8372475,48.2399695,587.039,13.286,11.634,13.1714
1,2,2009,5960.0,6.62,297.16956,0.154,1.09,228.3675397,-25.3096721,26.1804,6.47,4.882,6.28994
1,1,2009,268.94,0.78,330.5432,0.29,0.49,318.4010002,14.6893834,49.352,9.78,7.336,9.35108
1,1,2009,1802.0,2.984,797.7493,0.572,1.09,221.5104196,-68.7629901,67.4386,8.8,7.167,8.6178
1,3,2009,14002.0,11.6,521.22,0.16,1.06,164.8647611,40.4304931,13.7967,5.03352,3.75,4.87837
3,1,2009,1244.0,2.37,130.3103,0.41,1.26,216.7005171,-5.1784093,73.0961,8.81,7.06,8.61907
1,1,2009,4218.0,5.15,597.0,0.02,1.02,34.1979991,43.7722065,47.3963,7.61,6.139,7.45464
1,1,2009,4449.0,5.338,889.91954,0.031,1.02,34.1979991,43.7722065,47.3963,7.61,6.139,7.45464
1,2,2009,3.93404,0.047,6.6,0.16,0.87,341.652714,-56.5997984,40.5468,8.96,6.784,8.68605
1,2,2009,567.94,1.282,104.3,0.49,0.87,341.652714,-56.5997984,40.5468,8.96,6.784,8.68605
2,2,2009,0.94145223,0.02024,3241.84975,0.0051,1.29,24.3544618,-45.6777937,123.483,9.28,8.131,9.16617
1,1,2009,9.6737,0.0809,13.134,0.0,0.76,215.3434326,-40.3942443,28.1989,9.03,6.447,8.6555
1,2,2009,345.72,0.89,305.1168,0.52,0.43,16.5094891,-22.4536134,51.6026,10.16,7.669,9.80235
1,3,2009,19000.0,13.8,479.92089,0.38,1.01,164.8647611,40.4304931,13.7967,5.03352,3.75,4.87837
1,3,2009,4.215,0.050201,5.1,0.12,0.94,199.596455,-18.3157745,8.50332,4.6955,2.956,4.54052
1,3,2009,38.021,0.2175,18.2,0.14,0.94,199.596455,-18.3157745,8.50332,4.6955,2.956,4.54052
1,3,2009,123.01,0.476,22.9,0.35,0.94,199.596455,-18.3157745,8.50332,4.6955,2.956,4.54052
1,1,2009,1159.2,2.315,436.362,0.778,1.23,72.1529519,-5.6751152,26.1597,5.77466,4.31,5.61828
1,1,2009,3.7521,0.0499,175.12433,0.087,1.18,208.9280111,-32.1597118,282.091,10.972,9.693,10.797
1,1,2009,4218.0,5.15,699.226,0.02,1.3,34.1979991,43.7722065,47.3963,7.61,6.139,7.45464
1,1,2009,2899.0,3.98,692.8694,0.52,1.1,253.3732313,-46.3333582,87.8888,9.18,7.634,9.01051
1,1,2009,788.0,1.52,34.9613,0.41,0.54,147.5105663,-49.7905254,33.5225,8.54,6.491,8.29462
1,2,2009,1695.0,2.84,292.39,0.15,1.06,149.1235154,-24.0991859,45.683,7.93,6.463,7.7713
1,3,2009,4.21487,0.04956,5.11704,0.099,0.91,199.596455,-18.3157745,8.50332,4.6955,2.956,4.54052
1,3,2009,38.0957,0.2151,16.1139,0.068,0.91,199.596455,-18.3157745,8.50332,4.6955,2.956,4.54052
1,1,2009,2918.92,4.187,845.74563,0.532,1.15,253.3732313,-46.3333582,87.8888,9.18,7.634,9.01051
1,2,2009,345.72,0.89,451.0,0.52,0.78,16.5094891,-22.4536134,51.6026,10.16,7.669,9.80235
3,1,2009,1244.0,2.35,120.0,0.41,1.15,216.7005171,-5.1784093,73.0961,8.81,7.06,8.61907
1,1,2009,47.84,0.249,31.2,0.0,0.9,178.2201971,-50.2927911,57.1463,9.4,7.426,9.16421
1,1,2009,990.0,2.1,1398.0,0.59,1.29,39.2577379,42.0624526,59.859,7.297,5.853,7.1291
1,2,2009,3.93404,0.05,6.3566,0.16,0.67,341.652714,-56.5997984,40.5468,8.96,6.784,8.68605
1,2,2009,1628.0,2.73,143.0235,0.059,1.02,149.1235154,-24.0991859,45.683,7.93,6.463,7.7713
1,1,2009,2900.0,3.9,829.5,0.01,1.09,154.5874958,12.6209392,32.0104,7.02569,5.564,6.86817
2,2,2009,0.9414529,0.0202,3213.2613,0.00848,1.24,24.3544618,-45.6777937,123.483,9.28,8.131,9.16617
2,3,2009,4.1547,0.05,18.0,0.27,1.09,215.2227183,-17.4818147,57.6207,8.31,6.838,8.1559
2,3,2009,3008.0,4.2,2286.0,0.28,1.09,215.2227183,-17.4818147,57.6207,8.31,6.838,8.1559
1,1,2009,2443.0,3.43,772.3269,0.08,0.84,80.8399887,-2.2780391,56.433,8.99,7.271,8.80364
1,1,2009,358.0,0.94,168.4499,0.24,0.65,116.9582617,-54.265345,32.5376,8.1,6.316,7.90983
1,1,2009,788.0,1.52,42.0,0.41,0.76,147.5105663,-49.7905254,33.5225,8.54,6.491,8.29462
1,1,2009,799.52,1.373,31.46517,0.5,0.76,147.5105663,-49.7905254,33.5225,8.54,6.491,8.29462
1,1,2009,2188.0,3.331,642.01338,0.174,1.03,154.5874958,12.6209392,32.0104,7.02569,5.564,6.86817
1,1,2009,2157.0,3.27,565.7374,0.241,1.03,154.5874958,12.6209392,32.0104,7.02569,5.564,6.86817
1,2,2009,44.236,0.2388,674.0,0.4686,0.93,245.7490012,-61.6901291,40.4256,8.3,6.571,8.11145
1,2,2009,1008.0,1.922,2080.0,0.133,0.93,245.7490012,-61.6901291,40.4256,8.3,6.571,8.11145
1,1,2009,2443.0,3.43,807.25,0.08,0.9,80.8399887,-2.2780391,56.433,8.99,7.271,8.80364
1,1,2009,358.0,0.94,203.4,0.24,0.86,116.9582617,-54.265345,32.5376,8.1,6.316,7.90983
1,1,2009,0.78883852,0.01652,366.77398,0.0126,0.96,148.4167672,-45.6591078,268.325,12.248,10.481,12.1088
4,1,2009,335.10001,0.99,4392.4106,0.29,1.93,39.2412736,24.6480103,44.657,7.09209,5.822,6.96085
1,2,2009,5.6,0.06,12.7132,0.15,0.5,150.1971964,-9.5165689,41.3342,9.86,7.323,9.50331
1,1,2009,8.886593,0.0855,940.74,0.1,1.05,281.0725563,6.6632062,645.294,13.961,12.119,13.7459
1,1,2009,1523.0,2.54,826.32,0.4,0.94,278.6818389,-28.0727849,44.8113,8.61,6.831,8.41099
1,1,2009,49.609,0.2509,11.79143,0.16,0.86,155.9801144,-29.645103,21.9496,6.92,5.245,6.73951
1,1,2009,47.84,0.25,28.6047,0.0,0.8,178.2201971,-50.2927911,57.1463,9.4,7.426,9.16421
1,1,2009,3.735433,0.05,143.97699,0.11,1.2,239.9622479,-28.0617941,405.908,11.588,10.224,11.3803
1,1,2009,0.78883899,0.01634,339.76027,0.002,0.9,148.4167672,-45.6591078,268.325,12.248,10.481,12.1088
1,1,2009,2166.0,3.27,670.6213,0.2,1.27,154.5874958,12.6209392,32.0104,7.02569,5.564,6.86817
1,1,2009,55.806,0.2643,58.985,0.0,0.79,179.7923543,-20.3556058,20.3632,7.92,5.614,7.62029
1,5,2009,4.3115,0.0475,3.81,0.168,0.77,88.5172191,-60.0237289,12.9363,7.17,4.793,6.84367
1,5,2009,4.3123,0.0468,4.0,0.2,0.77,88.5172191,-60.0237289,12.9363,7.17,4.793,6.84367
1,5,2009,9.6207,0.0812,6.43,0.103,0.77,88.5172191,-60.0237289,12.9363,7.17,4.793,6.84367
1,5,2009,9.6184,0.0799,6.6,0.06,0.77,88.5172191,-60.0237289,12.9363,7.17,4.793,6.84367
1,5,2009,20.432,0.1321,9.5,0.07,0.77,88.5172191,-60.0237289,12.9363,7.17,4.793,6.84367
1,5,2009,20.4185,0.134,8.74,0.122,0.77,88.5172191,-60.0237289,12.9363,7.17,4.793,6.84367
1,1,2009,2754.0,3.58,489.4582,0.53,0.66,152.1794175,34.2419984,18.2912,7.56,5.314,7.27194
2,2,2009,0.9414526,0.02087,3305.432,0.0091,1.46,24.3544618,-45.6777937,123.483,9.28,8.131,9.16617
1,1,2009,2496.0,3.56,496.0,0.1,0.96,16.9536005,-8.2336165,51.3444,8.45,6.876,8.28147
1,1,2009,49.77,0.25,17.98,0.31,0.84,155.9801144,-29.645103,21.9496,6.92,5.245,6.73951
1,1,2009,55.806,0.26,50.8528,0.0,0.62,179.7923543,-20.3556058,20.3632,7.92,5.614,7.62029
1,1,2009,3.36100208,0.0414,154.14755,0.054,0.84,348.1571282,-22.6741248,197.119,11.907,10.325,11.9761
4,1,2009,335.1,0.995,3140.03,0.289,1.16,39.2412736,24.6480103,44.657,7.09209,5.822,6.96085
1,1,2009,2496.0,3.55,533.9544,0.1,1.08,16.9536005,-8.2336165,51.3444,8.45,6.876,8.28147
1,3,2009,0.853585,0.017,4.8,0.0,0.9,100.9561682,-1.0630076,159.906,11.728,9.806,11.5239
1,3,2009,0.85359165,0.017,4.73,0.12,0.9,100.9561682,-1.0630076,159.906,11.728,9.806,11.5239
1,3,2009,3.698,0.046,8.4,0.0,0.9,100.9561682,-1.0630076,159.906,11.728,9.806,11.5239
1,3,2009,3.7,0.045,13.56,0.12,0.9,100.9561682,-1.0630076,159.906,11.728,9.806,11.5239
1,2,2009,30.052,0.189,222.472,0.2,1.0,23.3350424,29.2649187,50.3503,8.35,6.851,8.2095
1,2,2009,192.9,0.654,578.426,0.06,1.0,23.3350424,29.2649187,50.3503,8.35,6.851,8.2095
2,1,2009,95.2738,0.407,266.97,0.11,0.99,280.7866461,6.2040783,412.98,13.637,11.688,13.5008
2,1,2009,95.272656,0.4021,266.9772,0.133,0.96,280.7866461,6.2040783,412.98,13.637,11.688,13.5008
1,1,2009,3303.0,4.072,728.46271,0.7121,0.83,152.1794175,34.2419984,18.2912,7.56,5.314,7.27194
1,1,2009,55.828,0.2673,64.51917,0.247,0.82,179.7923543,-20.3556058,20.3632,7.92,5.614,7.62029
1,1,2009,1027.0,2.45,270.144,0.52,1.22,247.0723035,-46.3175085,57.1289,7.69,6.397,7.55508
1,3,2009,0.85359159,0.017016,5.74,0.0,0.91,100.9561682,-1.0630076,159.906,11.728,9.806,11.5239
1,1,2009,2754.0,3.6,565.7374,0.53,0.82,152.1794175,34.2419984,18.2912,7.56,5.314,7.27194
1,2,2009,345.63,0.89,457.6752,0.54,0.78,16.5094891,-22.4536134,51.6026,10.16,7.669,9.80235
1,1,2009,268.94,0.777,467.19,0.29,0.86,318.4010002,14.6893834,49.352,9.78,7.336,9.35108
1,1,2009,3.2130598,0.0384,67.059,0.0,0.73,209.3886452,43.49331,142.751,12.665,10.108,12.4197
1,5,2009,4.3123,0.047524,4.0,0.1964,0.79,88.5172191,-60.0237289,12.9363,7.17,4.793,6.84367
1,5,2009,9.6183,0.08113,6.6,0.05777,0.79,88.5172191,-60.0237289,12.9363,7.17,4.793,6.84367
1,5,2009,20.4321,0.13407,9.5,0.06728,0.79,88.5172191,-60.0237289,12.9363,7.17,4.793,6.84367
1,1,2009,604.8,1.1325,87.40281,0.17,0.53,254.5363221,25.7419719,10.3796,9.7,5.624,8.81875
1,1,2009,600.1,1.112,81.99973,0.083,0.51,254.5363221,25.7419719,10.3796,9.7,5.624,8.81875
1,1,2009,2288.0,2.41,260.61,0.21,0.36,73.0245495,6.4752347,12.356,11.963,6.942,10.7055
1,1,2009,2303.0,2.424,301.93699,0.179,0.36,73.0245495,6.4752347,12.356,11.963,6.942,10.7055
1,1,2009,2333.0,2.523,239.00696,0.169,0.39,73.0245495,6.4752347,12.356,11.963,6.942,10.7055
1,3,2009,3.153,0.029,1.657,0.125,0.31,229.8564725,-7.7226935,6.2981,10.57,5.837,9.411
1,3,2009,3.149,0.02815,1.7,0.0,0.31,229.8564725,-7.7226935,6.2981,10.57,5.837,9.411
1,1,2009,1.58040433,0.0149,8.17,0.063,0.18,258.8313991,4.9606795,14.6427,15.1,8.782,13.0089
1,1,2010,13.2406,0.1055,867.6759,0.524,0.89,291.0636813,0.7460143,338.386,15.293,11.782,14.6645
